Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0402,1,1uF,
"C10, C11",C_0402,2,20pF,
"C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C5, C9",C_0402,14,100nF,
"C3, C4",C_0402,2,10uF,
C6,C_0402,1,10nF,
"C7, C8",C_0402,2,12pF,
D1,SOD-323,1,1N5819,
D2,LED_0402,1,GREEN,
D4,LED_0402,1,BLUE,
F1,0603,1,500mA,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SH1.0_4P,
J3,USB-Type-C_SMD_16P,1,USB-Type-C,
"J4, J5",BTB_Connector_02x18,2,BTB_02X18,
R1,R_0402,1,10R,
"R10, R11, R13, R14, R4, R5",R_0402,6,10K,
"R12, R2, R3, R6",R_0402,4,0R,
"R7, R8",R_0402,2,4.7K,
"SW1, SW2, SW3, SW4",BUTTON_3x4,4,3x4,
U1,LQFP-100_14x14mm_P0.5mm,1,~,
U2,SOT-23-5,1,RT9013-33GB,
U3,Bosch_LGA-14_3x2.5mm_P0.5mm,1,BMI270,
U4,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,1,~,
U5,IPS096,1,IPS096,
Y1,Crystal_SMD_3215_FC-135_2P,1,32.768KHz,
Y2,Crystal_SMD_3225_4P,1,8MHz,
