Designator,Mid X,Mid Y,Rotation,Layer
C1,213.2584,-91.948,180.0,bottom
C10,226.3394,-105.0154,90.0,bottom
C11,226.3394,-103.1358,270.0,bottom
C12,214.2236,-92.8116,0.0,bottom
C13,218.8972,-96.647,180.0,bottom
C14,214.240631,-112.445801,180.0,bottom
C15,198.746631,-97.07198,90.0,bottom
C16,203.242431,-112.445801,180.0,bottom
C17,218.3892,-107.569,270.0,bottom
C18,192.064801,-91.0082,0.0,bottom
C19,194.096801,-91.0082,180.0,bottom
C2,218.7702,-94.742,0.0,bottom
C20,211.6582,-91.44,90.0,bottom
C21,206.756,-91.44,90.0,bottom
C22,223.012,-101.7778,180.0,bottom
C3,216.6874,-94.742,180.0,bottom
C4,204.1144,-92.0496,180.0,bottom
C5,204.1144,-90.7542,180.0,bottom
C6,218.821,-90.297,0.0,bottom
C7,218.8972,-102.8192,0.0,bottom
C8,218.8972,-97.8154,0.0,bottom
C9,198.755,-105.1052,90.0,bottom
D1,199.6948,-91.2876,90.0,bottom
D2,197.8406,-109.4486,0.0,top
D4,197.8406,-111.4552,0.0,top
F1,201.7268,-91.4146,270.0,bottom
J2,192.9592,-110.4586,270.0,top
J3,194.7522,-94.1,270.0,top
J4,224.0788,-95.8262,0.0,bottom
J5,194.4116,-106.807,180.0,bottom
R1,213.2584,-90.932,180.0,bottom
R10,198.755,-110.5408,270.0,bottom
R11,198.755,-102.3112,90.0,bottom
R12,198.755,-99.6442,90.0,bottom
R13,212.2424,-92.8116,180.0,bottom
R14,208.728832,-112.4458,0.0,bottom
R2,218.9226,-104.9782,180.0,bottom
R3,219.4306,-107.569,270.0,bottom
R4,216.6874,-90.297,180.0,bottom
R5,198.755,-107.2642,90.0,bottom
R6,218.9226,-106.0196,180.0,bottom
R7,200.1266,-93.7768,0.0,bottom
R8,200.1266,-94.7674,0.0,bottom
SW1,194.6656,-102.9462,270.0,top
SW2,202.692,-110.4646,0.0,top
SW3,224.663,-110.4646,0.0,top
SW4,213.6902,-110.4646,0.0,top
U1,208.731497,-102.55038,180.0,bottom
U2,217.7542,-92.4814,0.0,bottom
U3,209.2198,-91.6686,0.0,bottom
U4,193.6842,-94.2432,180.0,bottom
U5,213.7664,-96.0718,0.0,top
Y1,218.9226,-100.3046,270.0,bottom
Y2,223.4692,-104.1264,180.0,bottom
