Designator,Mid X,Mid Y,Rotation,Layer
C1,183.2102,-85.7758,0.0,top
C10,158.0702,-113.9658,0.0,top
C11,166.3102,-101.6458,0.0,top
C12,155.5502,-113.3858,0.0,top
C13,185.7302,-85.6758,0.0,top
C14,158.0702,-112.4658,0.0,top
C15,151.4602,-118.8958,0.0,top
C16,151.4602,-120.3958,0.0,top
C17,172.9102,-96.0458,0.0,top
C18,172.8802,-94.5458,0.0,top
C19,177.1302,-90.0458,0.0,top
C2,185.7302,-87.1758,0.0,top
C20,163.7902,-101.6458,0.0,top
C21,167.0902,-104.6458,0.0,top
C22,175.4302,-96.0458,0.0,top
C23,167.0902,-103.1458,0.0,top
C24,153.9802,-117.8858,0.0,top
C25,161.9302,-108.2758,0.0,top
C26,191.4102,-80.8258,0.0,top
C27,179.6502,-90.0458,0.0,top
C28,174.6102,-93.0458,0.0,top
C29,172.9102,-99.0458,0.0,top
C3,172.9102,-97.5458,0.0,top
C30,161.9302,-109.7758,0.0,top
C31,170.3902,-98.8458,0.0,top
C4,170.3902,-97.3458,0.0,top
C5,151.2902,-115.8958,0.0,top
C6,183.2102,-88.7758,0.0,top
C7,175.4002,-94.5458,0.0,top
C8,179.6502,-91.5458,0.0,top
C9,148.9402,-119.4358,0.0,top
D1,145.5572,-119.8418,0.0,top
D2,177.1302,-91.5458,0.0,top
F1,152.2832,-113.8868,0.0,top
J1,136.7882,-87.9318,0.0,top
J2,148.7532,-101.0618,0.0,top
J3,162.7982,-87.5968,0.0,top
J4,155.3982,-87.5968,0.0,top
J5,170.9232,-82.3768,0.0,top
J6,169.9232,-89.9868,0.0,top
J7,146.8532,-110.6068,0.0,top
R1,153.8102,-116.3858,0.0,top
R10,169.6102,-103.1458,0.0,top
R11,155.5502,-114.8858,0.0,top
R12,177.1302,-93.0458,0.0,top
R13,164.4502,-108.2758,0.0,top
R14,151.2902,-117.3958,0.0,top
R15,174.6102,-90.0458,0.0,top
R2,177.9202,-94.5458,0.0,top
R3,174.6102,-91.5458,0.0,top
R4,171.3502,-100.5458,0.0,top
R5,168.8302,-101.6458,0.0,top
R6,179.6502,-93.0458,0.0,top
R7,156.3302,-116.3858,0.0,top
R8,191.4102,-79.3258,0.0,top
R9,183.2102,-87.2758,0.0,top
SW1,165.8282,-98.7578,0.0,top
SW2,157.3782,-105.2078,0.0,top
SW3,146.7282,-116.5478,0.0,top
SW4,178.6482,-87.1578,0.0,top
U1,163.2532,-105.2968,0.0,top
U2,152.9232,-109.9868,0.0,top
U3,179.5732,-81.7968,0.0,top
U4,158.3032,-99.8468,0.0,top
U5,131.2532,-109.4668,0.0,top
U6,186.9732,-81.7468,0.0,top
Y1,169.0582,-95.1918,0.0,top
Y2,158.1316,-109.5274,0.0,top
