Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
1085,TO-263-3_TabPin4,1,LM1085-ADJ,
1117,SOT-223,1,AMS1117-3.3,
2940,TO-263-3_TabPin4,1,LM2940S-5.0,
2YGP,PinHeader_1x03_P2.54mm_Vertical,1,2YGP2Y0A02,
3V3_3,TestPoint_Pad_D2.5mm,1,3V3,
"3V3_2, 5V_2, G_2, J13",PinHeader_1x06_P2.54mm_Vertical,4,IO,
3V3,0805,1,LED,
5V_3,0805,1,LED,
5V,TestPoint_Pad_D2.5mm,1,5V,
6V_2,TestPoint_Pad_D2.5mm,1,SERVO,
6V,0805,1,LED,
9013,SOT-23-5,1,RT9013-33GB,
AUX,PinHeader_1x04_P2.54mm_Vertical,1,AUX,
BLE,PinHeader_1x04_P2.54mm_Vertical,1,WIRELESS,
BZ1,Buzzer_9*9P5,1,Buzzer,
"C1, C11, C5",CP_EIA-3528-15_AVX-H,3,10uF,
C10,0603,1,10uF,
C12,0603,1,100nF,
C13,0603,1,100nF,
"C14, C4, C8",CP_EIA-3528-15_AVX-H,3,22uF,
C15,0603,1,10nF,
C16,CP_EIA-7343-30_AVX-N,1,470uF,
C17,0603,1,100nF,
C18,0603,1,10uF,
C2,0603,1,100nF,
C3,0603,1,100nF,
C6,0603,1,100nF,
C7,0603,1,100nF,
C9,0603,1,100nF,
CAM_2,0805,1,LED,
CAM,TestPoint_Pad_D2.5mm,1,CAM,
D5,D_SMA,1,1N4148W,
G,TestPoint_Pad_D2.5mm,1,GND,
IC1,SOP65P640X120-20N,1,SN74LVC244APW,
J10,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,MOTOR,
J3,BatteryHolder_2x18650,1,PWR,
J8,PinHeader_1x07_P2.54mm_Vertical,1,ELEMAG,
L_ENC,PinHeader_2x03_P2.54mm_Vertical,1,L_ENCODER,
MAPLE,Maple,1,Maple,
MOTOR,PinHeader_2x03_P2.54mm_Vertical,1,MOTOR,
PWR,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,PWR,
Q1,SOT-23,1,S8050,
R1,0603,1,5K1,
R10,0603,1,10K,
R11,0603,1,1K,
R12,0603,1,10K,
R13,0603,1,2K,
R2,0603,1,5K1,
R3,0603,1,1K,
R4,1206,1,0R,
R5,0603,1,5K1,
R6,0603,1,5K1,
R7,0603,1,10K,
R8,0603,1,1K,
R9,0603,1,2K,
RV1,3296W,1,3296W,
R_ENC,PinHeader_2x03_P2.54mm_Vertical,1,R_ENCODER,
SERVO,PinHeader_1x03_P2.54mm_Vertical,1,SERVO,
SW1,SPDT_MTS_102,1,SW_SPDT,
SW2,SW_5DIR,1,SW_5DIR,
SWD,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
TOF,PinHeader_1x05_P2.54mm_Vertical,1,TOF,
U5,SCEP,1,SCEP,
U6,Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,1,MT9V034,
