Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,DET-402-G-1,1,Buzzer,
"C1, C12, C14, C15, C4, C5, C9",C_0402,7,100nF,
"C10, C16, C17, C6, C7, C8",C_0402,6,10uF,
C11,C_0402,1,10nF,
"C13, C3",C_0402,2,100pF,
C2,CP_EIA-7343-30_AVX-N,1,470uF,
D1,D_SMA,1,1N4148W,
D2,0603,1,LED,
"D3, D6",SOD-323,2,1N5819,
D4,0603,1,LED,
D5,0603,1,LED,
F1,0603,1,500mA,
J1,PinHeader_1x04_P2.54mm_Vertical,1,9-Axis,
J10,PinSocket_1x04_P2.54mm_Vertical,1,GPS,
J2,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,1,NEO3,
J3,VCC_CONN,1,PWR,
J4,PinSocket_1x04_P2.54mm_Vertical,1,WIRELESS,
"J5, J7",AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,MOTOR,
J6,PinHeader_2x03_P2.54mm_Horizontal,1,FLY_WHEEL,
J8,PinHeader_2x03_P2.54mm_Horizontal,1,MOTOR_BACK,
J9,PinHeader_1x03_P2.54mm_Vertical,1,SERVO,
"L1, L2",L_NR201612,2,6.8uH,
Q1,SOT-23,1,S8050,
"R1, R11, R12, R13, R14, R3, R4, R5",R_0402,8,5K1,
"R10, R6",R_0402,2,1K,
"R15, R16, R17, R2, R21, R7, R8",R_0402,7,10K,
"R18, R9",R_0402,2,1M,
R19,1206,1,0R,
R20,R_0402,1,1K5,
SW1,SPDT_MTS_102,1,SW_SPDT,
TP1,TestPoint_Pad_D1.0mm,1,SERVO,
TP2,TestPoint_Pad_D1.0mm,1,3V3,
TP3,TestPoint_Pad_D1.0mm,1,5V,
TP4,TestPoint_Pad_1.0x1.0mm,1,GND,
"U1, U3",SOT-23-6,2,ME3116,
U2,SOT-23-5,1,RT9013-33GB,
U4,SCEP_CH32V3,1,SCEP_CH32V3,
U5,Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,1,MT9V034,
