Designator,Mid X,Mid Y,Rotation,Layer
_3,202.1078,-80.4164,0.0,top
_2,139.2682,-21.2344,0.0,top
,94.1324,-80.4164,0.0,top
1085,188.5124,-37.5814,90.0,top
1117,183.2356,-57.6834,90.0,top
2940,197.631,-64.8328,270.0,top
2YGP,172.1104,-53.8226,0.0,top
3V3_3,172.1358,-46.736,180.0,top
3V3_2,178.3588,-56.7944,270.0,top
5V_3,190.3094,-65.862201,90.0,top
5V_2,169.5958,-46.736,180.0,top
6V_2,185.9534,-49.3522,180.0,top
9013,136.6012,-39.6748,180.0,top
AUX,109.904,-62.7126,0.0,top
BLE,114.554,-62.7126,0.0,top
BZ1,113.4618,-52.8066,180.0,top
C1,184.0484,-68.6562,180.0,top
C10,130.9116,-39.8526,90.0,top
C11,200.66,-51.9938,180.0,top
C12,202.1966,-56.4388,270.0,top
C13,193.1034,-56.4388,270.0,top
C14,190.3094,-57.15,270.0,top
C15,128.6256,-39.8526,270.0,top
C16,206.2734,-97.663,180.0,top
C17,129.4638,-34.3408,0.0,top
C18,168.1226,-53.5686,180.0,top
C2,185.5724,-64.0842,270.0,top
C3,183.2356,-64.0842,270.0,top
C4,179.349401,-64.0842,180.0,top
C5,195.834,-45.212,90.0,top
C6,193.0908,-45.9864,90.0,top
C7,183.9468,-45.974001,270.0,top
C8,181.2036,-45.2628,90.0,top
C9,132.9944,-39.8526,90.0,top
CAM_2,136.017,-48.7934,0.0,top
D5,206.7052,-92.2274,0.0,top
G_2,174.6758,-46.736,180.0,top
IC1,131.6228,-29.7688,180.0,top
J10,99.8474,-92.1512,270.0,top
J13,167.0558,-46.736,180.0,top
J3,148.1328,-94.7166,0.0,top
J8,108.4326,-22.7838,0.0,top
L_ENC,129.2964,-64.5618,270.0,top
MAPLE,101.2352,-67.945,180.0,top
MOTOR,92.2378,-94.000399,270.0,top
PWR,197.4088,-92.2674,270.0,top
Q1,109.1184,-44.9072,180.0,top
R1,182.0286,-49.3522,0.0,top
R10,109.22,-41.8846,180.0,top
R11,168.148,-55.626,0.0,top
R12,168.1226,-59.3344,180.0,top
R13,168.1226,-57.4802,180.0,top
R2,178.3588,-60.4642,90.0,top
R3,190.2206,-49.3522,0.0,top
R4,176.0728,-70.7136,180.0,top
R5,136.1186,-46.8122,0.0,top
R6,190.3094,-61.747401,270.0,top
R7,204.6986,-87.4908,90.0,top
R8,208.788,-87.4776,90.0,top
R9,206.7052,-87.4776,90.0,top
RV1,180.9496,-18.7452,0.0,top
R_ENC,172.0446,-64.511,270.0,top
SERVO,167.995601,-18.7706,90.0,top
SW1,203.4286,-110.4646,180.0,top
SW2,99.9744,-52.7812,0.0,top
SWD,93.0148,-72.7964,180.0,top
TOF,162.9918,-18.770601,0.0,top
U5,136.2104,-30.05,0.0,top
U6,126.111,-49.0626,0.0,top
