Designator,Mid X,Mid Y,Rotation,Layer
C1,170.464601,-112.3738,90.0,top
C10,182.3772,-112.373801,90.0,top
C11,165.8672,-95.508199,0.0,top
C12,160.262,-96.2406,180.0,top
C13,160.262,-106.4514,180.0,top
C14,152.3372,-97.5173,270.0,top
C15,152.3372,-107.7281,270.0,top
C16,160.262,-98.7044,180.0,top
C17,160.262,-108.9152,180.0,top
C18,174.8588,-91.0886,90.0,top
C19,174.8588,-89.0312,90.0,top
C2,165.8672,-99.572199,0.0,top
C20,180.0912,-89.0312,90.0,top
C21,158.4198,-115.2144,180.0,top
C22,156.3878,-115.2144,180.0,top
C23,154.3558,-115.2144,180.0,top
C24,181.2798,-84.963,270.0,top
C25,181.2798,-86.995,270.0,top
C26,181.2798,-89.027,270.0,top
C27,155.3265,-81.7626,0.0,top
C28,153.9803,-83.0072,0.0,top
C29,155.3265,-80.5942,0.0,top
C3,160.262,-93.7768,180.0,top
C30,156.4187,-88.2498,270.0,top
C31,157.6379,-88.2498,270.0,top
C32,157.6379,-80.5942,0.0,top
C33,157.6379,-81.7626,0.0,top
C34,156.9267,-89.8246,0.0,top
C35,160.3811,-85.1154,270.0,top
C4,160.262,-103.9876,180.0,top
C5,170.159798,-91.5966,180.0,top
C6,165.8672,-107.7002,0.0,top
C7,186.3396,-96.1178,90.0,top
C8,181.285,-91.0632,270.0,top
C9,180.0912,-91.0632,270.0,top
D1,168.204,-90.0472,90.0,top
D10,161.1122,-107.6198,180.0,top
D11,178.8414,-82.3468,90.0,top
D12,174.7266,-82.2706,90.0,top
D13,151.6689,-83.2866,90.0,top
D14,160.4319,-88.7578,90.0,top
D15,160.6351,-81.2292,180.0,top
D2,166.5276,-90.0472,90.0,top
D3,175.0366,-112.373801,0.0,top
D4,178.8974,-112.3738,180.0,top
D5,161.1122,-92.4814,180.0,top
D6,161.1122,-102.6922,180.0,top
D7,161.1122,-94.9452,180.0,top
D8,161.1122,-105.156,180.0,top
D9,161.1122,-97.409,180.0,top
IC1,155.956,-96.7486,0.0,top
IC2,155.956,-106.9594,0.0,top
J1,161.8488,-75.0198,270.0,top
J2,169.3418,-123.2154,0.0,top
J3,169.8498,-75.0198,270.0,top
J4,131.7517,-90.2208,270.0,top
J5,131.8006,-114.4524,270.0,top
J6,156.6164,-123.8758,0.0,top
J7,189.8173,-86.741,90.0,top
J8,150.3144,-75.5456,0.0,top
J9,181.316,-75.564,0.0,top
L1,161.1431,-83.0072,0.0,top
Q1,145.3948,-80.9498,270.0,top
Q10,138.117,-105.1234,180.0,top
Q11,138.116999,-113.1824,180.0,top
Q12,138.117,-121.227,180.0,top
Q2,145.3948,-89.0088,270.0,top
Q3,145.3948,-97.0534,270.0,top
Q4,145.3948,-105.1234,270.0,top
Q5,145.3948,-113.1824,270.0,top
Q6,145.3948,-121.227,270.0,top
Q7,138.117,-80.949799,180.0,top
Q8,138.117,-89.0088,180.0,top
Q9,138.117,-97.0534,180.0,top
R1,186.3396,-99.1404,90.0,top
R10,165.8672,-102.6202,0.0,top
R11,173.8174,-91.0886,270.0,top
R12,170.6932,-89.0566,90.0,top
R13,172.776,-89.0566,90.0,top
R14,171.7346,-89.0566,90.0,top
R15,165.8672,-101.604199,0.0,top
R16,165.8672,-98.556199,180.0,top
R17,165.8672,-97.540199,180.0,top
R18,181.3358,-112.373801,90.0,top
R19,186.3396,-105.6174,270.0,top
R2,165.8672,-105.6682,0.0,top
R20,165.8672,-100.5882,0.0,top
R21,142.8414,-84.455,180.0,top
R22,142.8414,-92.514,180.0,top
R23,142.8414,-100.5586,180.0,top
R24,142.8414,-108.6286,180.0,top
R25,142.8414,-116.6876,180.0,top
