Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402,2,1uF,
"C10, C11, C18, C27, C29, C30, C32, C5, C6, C7, C8, C9",C_0402,12,100nF,
"C12, C13, C14, C15, C16, C17, C3, C31, C33, C35, C4",C_0402,11,10uF,
"C19, C20",C_0402,2,20pF,
"C21, C22, C23, C24, C25, C26, C34",C_0402,7,10nF,
C28,C_0402,1,100pF,
"D1, D10, D15, D2, D3, D4, D5, D6, D7, D8, D9",SOD-323,11,1N5819,
D11,D_SMA,1,1N4148W,
D12,D_SMB,1,TVS,
D13,0603,1,LED,
D14,0603,1,LED,
"IC1, IC2",QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,2,FD6288Q,
J1,PinSocket_2x03_P2.54mm_Horizontal,1,FLY_WHEEL,
J2,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,SWD&UART,
J3,PinSocket_2x03_P2.54mm_Horizontal,1,MOTOR_BACK,
"J4, J5",MR30,2,MR30,
"J6, J7",JST_ZE_SM06B-ZESS-TB_1x06-1MP_P1.50mm_Horizontal,2,Hall,
"J8, J9",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,MOTOR,
L1,L_NR201612,1,6.8uH,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TPH1R403NL,12,NMOS,
"R1, R14, R15, R18, R20, R27, R28, R29, R30, R31, R32, R33, R34, R41, R42, R43, R44, R45, R46, R47, R48, R5, R51, R52, R53, R54, R55, R6, R9",R_0402,29,10K,
"R10, R17, R19, R56, R57, R58, R59, R61, R62, R8",R_0402,10,100R,
"R11, R2",R_0402,2,4K7,
"R12, R3",R_0402,2,1K5,
"R13, R16, R4, R7, R75",R_0402,5,1K,
"R21, R22, R23, R24, R25, R26, R35, R36, R37, R38, R39, R40",R_0402,12,4R7,
R49,2512,1,2mR,
R50,2512,1,2mR,
"R60, R63, R70",R_0402,3,0R,
"R64, R65, R66, R67, R68, R69",R_0402,6,4.7K,
"R71, R72, R73",R_0402,3,5K1,
R74,R_0402,1,1M,
"SW1, SW2",SPDT_12C01,2,SW_SPDT,
U1,LQFP-100_14x14mm_P0.5mm,1,~,
U2,SOT-23-5,1,RT9013-33GB,
U3,SOT-23-6,1,ME3116,
Y1,Crystal_SMD_3225_4P,1,8MHz,
